[9, 18, -4, 33, -31, 22, 5]
[9, -4, 18, 33, -31, 22, 5]
[9, -4, 18, 33, -31, 22, 5]
[9, -4, 18, -31, 33, 22, 5]
[9, -4, 18, -31, 22, 33, 5]
[9, -4, 18, -31, 22, 5, 33]
[-4, 9, 18, -31, 22, 5, 33]
[-4, 9, 18, -31, 22, 5, 33]
[-4, 9, -31, 18, 22, 5, 33]
[-4, 9, -31, 18, 22, 5, 33]
[-4, 9, -31, 18, 5, 22, 33]
[-4, 9, -31, 18, 5, 22, 33]
[-4, -31, 9, 18, 5, 22, 33]
[-4, -31, 9, 18, 5, 22, 33]
[-4, -31, 9, 5, 18, 22, 33]
[-31, -4, 9, 5, 18, 22, 33]
[-31, -4, 9, 5, 18, 22, 33]
[-31, -4, 5, 9, 18, 22, 33]
[-31, -4, 5, 9, 18, 22, 33]
[-31, -4, 5, 9, 18, 22, 33]
[-31, -4, 5, 9, 18, 22, 33]
